beta,eta_l,eta_h,epsilon,mu,nu,psi,rho,sigma,prev_Ash,prev_Asl,kappa,notifiedprev
0.450919748,0.369576686,0.877409965,0.436987626,234.5236298,3.520490822,0.128295985,49.36762988,113.2565254,0.055041626,0.002599094,1,0.38
0.425763157,0.31431308,0.867437574,0.408688862,242.6296256,3.188784082,0.146894946,46.97282101,78.84392817,0.041277679,0.005076478,1,0.38
0.386757722,0.363704447,0.763669843,0.174560521,350.0709951,2.57142477,0.150045314,51.45186201,125.2773188,0.057092556,0.007104246,1,0.38
0.33153462,0.309544989,0.863504517,0.714688576,225.5274396,2.322998328,0.187673521,54.38624602,121.4065161,0.057931107,0.008867496,1,0.38
0.299025953,0.259230309,1.175271211,0.773905868,140.9712743,1.673266573,0.286093376,62.07997859,105.8676366,0.040841286,0.009626194,1,0.38
0.38601575,0.376918381,0.558159292,0.971660325,250.6754917,3.08032874,0.114116082,56.33245768,68.40400296,0.087624509,0.002205586,1,0.38
0.366947579,0.352539958,0.614624982,0.359485377,172.8318272,2.491980118,0.137086489,46.6097647,89.58102771,0.063373795,0.002546215,1,0.38
0.54456282,0.346358121,0.577075561,0.251292066,235.7936682,4.139464866,0.089299351,57.42287844,84.77165161,0.062541845,0.004382268,1,0.38
0.357935317,0.382556734,0.536541958,0.046805074,101.3403015,2.167742104,0.128265944,57.73257077,96.82219679,0.094811364,0.005741738,1,0.38
0.509974424,0.326851202,0.798542926,0.506368035,194.7801248,4.382048,0.116563793,66.3786739,80.65566298,0.052622617,0.00708674,1,0.38
0.384553752,0.370891487,0.801929165,0.596431299,251.567292,2.695622313,0.163844139,51.85260082,171.0130309,0.067130637,0.003129895,1,0.38
0.372373183,0.359308777,0.484694445,0.732862692,206.1139999,2.422521912,0.129403894,60.1666415,79.20553996,0.08614328,0.007849839,1,0.38
0.421395754,0.182915241,1.651059348,0.663355889,81.49124,2.905768495,0.248230489,61.39633648,68.95013466,0.031214671,0.003178608,1,0.38
0.414979406,0.364931138,0.814827382,0.649160259,155.170329,3.297750555,0.133148254,57.88868189,61.2758581,0.075532686,0.00088918,1,0.38
0.372410921,0.344486309,0.800755922,0.491794822,68.65506299,2.756753543,0.148071978,50.3210885,99.25145795,0.064770141,0.008741988,1,0.38
0.326658913,0.394421635,0.612153123,0.517729784,207.5836671,2.153276265,0.163754198,50.43765963,101.9650873,0.067236944,0.002247212,1,0.38
0.442903761,0.369036745,0.554420895,0.435481966,190.7613266,3.140827098,0.11350611,49.12146086,109.742068,0.086965954,0.000866014,1,0.38
0.292075885,0.343887304,1.063611599,0.734093499,107.8674304,1.677338156,0.261318992,59.09936267,69.81521349,0.05941009,0.002326856,1,0.38
0.310345334,0.376634841,0.782835318,0.451706768,187.203562,1.923302092,0.190328181,46.38395045,69.83440535,0.0530622,0.007125388,1,0.38
0.349105207,0.351538264,0.888487551,0.454796214,311.3254922,2.312964698,0.183154465,48.64906001,80.91261182,0.056495918,0.001193644,1,0.38
