eta_l,eta_h,epsilon,mu,nu,psi,rho,sigma,lambda
0,4,0.705029724,194.5689399,3.804898235,0.122865161,54.43191734,131.8445861,1.5
0,4,0.872035151,129.5769282,3.57679267,0.151898391,51.76053321,43.11817617,1.5
0,4,0.959810527,246.3662216,2.082561129,0.212152516,53.58340582,88.71120741,1.5
0,4,0.465451751,187.0626217,1.746125868,0.157105044,53.76511397,146.4254678,1.5
0,4,0.849918439,217.7100464,1.430911185,0.20375949,53.68309647,104.2994723,1.5
0,4,0.69931945,198.6662271,1.780036096,0.214675739,53.50412224,97.47231359,1.5
0,4,0.343476639,206.0174393,3.059839063,0.164035827,49.96904339,107.3234421,1.5
0,4,0.668513678,117.7424907,1.875238644,0.274710942,62.02572857,65.11541179,1.5
0,4,0.054644041,244.9297184,3.290620287,0.160144847,64.85806598,108.6018594,1.5
0,4,0.846585471,158.2783237,4.409082998,0.141797172,55.4361251,72.20132162,1.5
0,4,0.228827837,467.7943914,3.026157167,0.155157272,49.82649391,105.3138647,1.5
0,4,0.868915254,181.3464747,3.267353074,0.14750939,59.63467772,75.63023141,1.5
0,4,0.233463887,122.416962,2.195975123,0.122342146,59.07984485,147.8531283,1.5
0,4,0.72986952,83.36464816,2.620333041,0.19889336,56.77872999,101.1602615,1.5
0,4,0.402952859,119.5459014,3.690264404,0.12944731,42.54233493,93.3498422,1.5
0,4,0.687213238,161.1593094,2.608307982,0.166836332,56.76133499,78.63943775,1.5
0,4,0.545124666,293.1509197,2.508123216,0.153377594,49.54609342,82.32347924,1.5
0,4,0.067685564,233.4088325,3.525704833,0.142930019,54.50417033,133.4701243,1.5
0,4,0.726667138,222.1682713,3.208931189,0.145673135,63.71893102,126.4881761,1.5
0,4,0.222368009,123.0495642,3.462521624,0.124412904,63.00006849,108.3336703,1.5
0,4,0.26464065,240.319875,3.12394637,0.152309002,50.23019725,122.6924623,1.5
0,4,0.278933278,180.1182077,1.662387516,0.227709071,48.26798104,82.37571207,1.5
0,4,0.900684986,127.7472904,1.902447712,0.186954539,67.14339016,108.8337706,1.5
0,4,0.700253023,249.9971473,2.484476708,0.151857609,56.38113809,101.948471,1.5
0,4,0.762133127,158.4102456,2.674064469,0.255770424,56.88048542,100.7494352,1.5
0,4,0.698105363,152.9597673,3.751159273,0.086502849,51.41128725,94.78165069,1.5
0,4,0.388530991,97.17174822,1.784414884,0.186942389,53.67027611,122.5426729,1.5
0,4,0.241921712,143.436391,2.537523137,0.099950609,68.87804754,110.1919932,1.5
0,4,0.334708972,125.8862082,2.945839706,0.141385308,53.93115127,71.16823884,1.5
0,4,0.994749455,93.33142336,3.402464891,0.134444781,65.65010437,87.01069464,1.5
0,4,0.84986634,200.7924958,1.705458313,0.196306623,62.54298911,124.3596462,1.5
0,4,0.47911304,220.4109357,3.543873354,0.1324799,57.63169601,64.51892151,1.5
0,4,0.329758096,147.99955,4.396832884,0.077480323,56.72485812,80.37877866,1.5
0,4,0.31334725,165.0322468,2.569428433,0.131826758,57.31791814,107.9032698,1.5
0,4,0.718037249,287.9534397,2.530374785,0.173497999,50.77741225,131.4271399,1.5
0,4,0.774669294,155.958533,2.601954931,0.125091328,60.99367484,79.15374224,1.5
0,4,0.107095969,235.2759587,4.771671072,0.088623955,52.27384985,79.60177392,1.5
0,4,0.95849614,253.8946503,2.350833923,0.180208214,43.66592514,106.0130809,1.5
0,4,0.884111543,266.237109,1.972118277,0.180737002,57.10485272,98.50068931,1.5
0,4,0.071863372,213.8526793,2.107661765,0.191321327,63.80381304,110.5229015,1.5
0,4,0.308429128,159.837534,2.749494233,0.19726616,45.32057758,72.73695065,1.5
0,4,0.274337927,160.7093458,2.376086334,0.151308487,66.3878204,62.96464524,1.5
0,4,0.932854661,127.5039805,1.821137961,0.215710506,61.26259453,118.3150553,1.5
0,4,0.390832533,128.7689556,2.434537351,0.143588374,48.12709486,109.8995018,1.5
0,4,0.772673219,83.93744619,2.330020219,0.236929946,55.10429811,109.5546723,1.5
0,4,0.360175604,196.9444621,3.199252654,0.181690372,57.16698964,90.12554217,1.5
0,4,0.500528391,106.5619852,2.906344728,0.134763518,54.04295866,80.94165715,1.5
0,4,0.891337592,348.8844201,2.783832998,0.157285974,49.4063136,50.21966416,1.5
0,4,0.296371405,163.4480424,3.60857561,0.121515084,64.58072285,68.75393246,1.5
0,4,0.824059439,149.7711648,2.107509458,0.218743146,57.99457555,85.06127294,1.5
0,4,0.1773252,363.297794,2.340671839,0.157966919,56.09004832,92.77656417,1.5
0,4,0.684442141,371.5756955,2.947674689,0.145010461,47.62464734,108.1193582,1.5
0,4,0.196556659,122.5277713,3.223567863,0.185594077,43.57620977,69.16883671,1.5
0,4,0.944553611,200.8326947,2.585288009,0.181996411,48.95764281,96.00490712,1.5
0,4,0.709609916,158.2359741,3.821705409,0.145291792,57.77572091,123.9764975,1.5
0,4,0.278933278,180.1182077,1.662387516,0.227709071,48.26798104,82.37571207,1.5
0,4,0.759096211,84.87986438,1.78157321,0.156645664,54.42016225,116.1355836,1.5
0,4,0.482225457,343.8609083,1.906074493,0.168739759,60.09107136,86.54272874,1.5
0,4,0.642403,209.9382808,4.959542272,0.094107344,51.2984878,46.42423985,1.5
0,4,0.735334825,112.5597472,3.39229043,0.120430633,65.25080937,96.21579748,1.5
0,4,0.762133127,158.4102456,2.674064469,0.255770424,56.88048542,100.7494352,1.5
0,4,0.730795546,226.9664996,5.762455442,0.098736149,46.91837792,123.7842349,1.5
0,4,0.741527634,163.3372389,3.026895984,0.158531946,51.53424609,78.30812025,1.5
0,4,0.959513387,513.9720188,3.342999046,0.130376869,54.90305682,178.3095661,1.5
0,4,0.980031855,119.8630095,3.389441998,0.143098825,54.2738455,119.5785447,1.5
0,4,0.131657485,243.1595031,2.822538543,0.126809978,50.91076805,80.65313552,1.5
0,4,0.620618402,251.9715069,1.633017594,0.184333606,63.06514432,159.6957576,1.5
0,4,0.660096437,132.4210535,2.029619005,0.175855089,55.95931932,64.14845578,1.5
0,4,0.351436283,113.2341049,1.918418601,0.148248083,55.1848862,190.6624343,1.5
0,4,0.354949354,111.7459141,2.959233526,0.114561382,62.39425119,94.23855458,1.5
0,4,0.092453749,263.0083805,2.214641879,0.185890372,57.98405109,124.7784904,1.5
0,4,0.874340019,191.7791755,3.118663577,0.153851854,54.53292965,83.21203137,1.5
0,4,0.529102234,284.1419975,2.209081428,0.17169415,44.93593372,61.04269223,1.5
0,4,0.596669866,151.7327126,2.35974601,0.151476904,54.32837282,66.01550991,1.5
0,4,0.506096436,248.9119024,5.324255616,0.08489043,55.96601689,116.5427485,1.5
0,4,0.321676474,158.8459377,3.387478528,0.140497861,60.75428862,85.10832938,1.5
0,4,0.959810527,246.3662216,2.082561129,0.212152516,53.58340582,88.71120741,1.5
0,4,0.889413157,222.7791118,1.989285562,0.197973642,57.1440214,94.85332582,1.5
0,4,0.854523907,256.7033028,3.237810595,0.116165515,50.03978624,73.9904793,1.5
0,4,0.982402405,155.8385507,2.56639846,0.215361422,59.04879855,84.11729386,1.5
0,4,0.176406856,131.0905963,4.780617886,0.07234972,58.22765083,107.9495837,1.5
0,4,0.698105363,152.9597673,3.751159273,0.086502849,51.41128725,94.78165069,1.5
0,4,0.855310961,192.1573993,2.060837792,0.1588087,57.18121095,62.05357347,1.5
0,4,0.366389364,167.4115085,3.273912169,0.106902564,62.80198933,77.78963801,1.5
0,4,0.797987091,425.6212925,2.816540919,0.185539122,48.38473175,80.09276833,1.5
0,4,0.191321529,283.0171192,1.56680679,0.194873002,57.84959683,97.88711388,1.5
0,4,0.506004544,212.7282625,2.391563776,0.135765137,54.83995926,120.1958456,1.5
0,4,0.446406181,241.5545494,4.076814231,0.112653681,65.41633872,88.65862079,1.5
0,4,0.893283066,270.5997111,3.089755002,0.135174321,49.81271089,96.40872379,1.5
0,4,0.994915894,124.6860766,3.456072108,0.22922463,54.19704797,93.20292572,1.5
0,4,0.65253334,311.3794203,3.208210469,0.164501591,52.69826945,106.33135,1.5
0,4,0.72256624,96.52861937,3.765359874,0.123842253,73.68398623,132.3715411,1.5
0,4,0.702970156,127.7558553,2.084773978,0.126085148,49.159686,86.5419668,1.5
0,4,0.943554628,93.56240945,1.770803064,0.163113689,51.864668,70.29860042,1.5
0,4,0.458467886,297.6440388,2.875492287,0.139076231,60.03577654,59.59117567,1.5
0,4,0.829624706,214.2612677,2.158273145,0.182311952,52.2946528,98.13084288,1.5
0,4,0.191119565,258.0795148,1.815320277,0.127832595,59.13046734,101.8915849,1.5
0,4,0.973605389,206.2556618,2.476150207,0.14906193,54.40653772,97.12696066,1.5
0,4,0.794317846,329.8621289,2.065528858,0.149432173,57.65900536,62.32880813,1.5
0,4,0.427957299,153.2040918,2.48063631,0.207445061,56.66242377,89.18814831,1.5
0,4,0.787939333,265.2483826,2.545201721,0.15570003,49.68767469,96.29246071,1.5
0,4,0.38982888,209.859604,3.621834878,0.1306256,58.89690371,106.1575839,1.5
0,4,0.676427064,210.6592105,3.554930589,0.137868571,54.51563309,60.72234995,1.5
0,4,0.878447318,212.471342,2.224728459,0.167367237,53.30742323,69.8866524,1.5
0,4,0.823815823,84.22139111,2.914925517,0.157581525,57.02455905,84.03290591,1.5
0,4,0.295231411,162.7456659,2.999053865,0.12929706,58.25673788,92.36119747,1.5
0,4,0.251875933,137.1615721,4.334399186,0.079474358,51.4494192,88.62136485,1.5
0,4,0.348010399,138.9375783,1.866207559,0.194609974,51.09074572,77.30187641,1.5
0,4,0.42276574,247.2052202,4.417722532,0.096959606,53.04076451,97.32372084,1.5
0,4,0.294161145,245.9077133,4.496095059,0.105158409,45.42767979,94.10613094,1.5
0,4,0.992115037,265.2558516,2.848369964,0.120052127,54.02987195,62.7173727,1.5
0,4,0.886117297,307.3569309,3.920838433,0.1741671,54.99508787,75.14553039,1.5
0,4,0.071675114,241.5994779,6.312727206,0.056250016,54.61604801,124.4276131,1.5
0,4,0.522276624,370.4681536,2.140404727,0.137539515,48.97990446,117.107682,1.5
0,4,0.776926953,103.2789846,3.449102167,0.130465577,49.82815738,180.6848521,1.5
0,4,0.854508038,273.9345469,2.588195501,0.169350261,48.86082638,129.0532389,1.5
0,4,0.987429644,303.8416098,1.567688302,0.199101595,54.4140745,146.6343479,1.5
0,4,0.589414495,194.7756508,3.457796346,0.174622304,53.48838772,100.0068954,1.5
0,4,0.45469841,147.0293055,2.284900015,0.162078964,51.38416005,92.37575734,1.5
0,4,0.4747714,78.8558259,3.034412398,0.148154942,48.2994505,101.5850617,1.5
0,4,0.660096437,132.4210535,2.029619005,0.175855089,55.95931932,64.14845578,1.5
0,4,0.320622209,237.7651881,2.745849056,0.110749073,47.75606807,83.13206336,1.5
0,4,0.662633819,102.9831489,3.319919779,0.123007966,50.7718956,64.20167381,1.5
0,4,0.271309682,204.7587371,2.49393238,0.123298116,62.98296315,75.35356925,1.5
0,4,0.295586917,149.3284595,3.100692434,0.190555507,53.16841669,79.86317673,1.5
0,4,0.728793117,375.5838104,2.115192823,0.182315624,50.92178504,61.55430005,1.5
0,4,0.942850194,413.0168204,6.531202107,0.092646791,63.23539988,106.0305613,1.5
0,4,0.746124154,178.1426148,3.210358501,0.175270346,45.52662512,76.83095479,1.5
0,4,0.380827128,188.6652318,2.139621733,0.182003999,51.18219121,98.64067453,1.5
0,4,0.629983497,205.405323,3.27404726,0.100451198,55.9769744,82.49452484,1.5
0,4,0.847496804,319.6673931,2.756308723,0.157108938,52.45896587,117.1919993,1.5
0,4,0.158908939,531.4681017,2.805081026,0.111456149,57.56722722,127.5717008,1.5
0,4,0.852789198,145.90482,1.644298423,0.221775812,48.48364398,82.29766235,1.5
0,4,0.849918439,217.7100464,1.430911185,0.20375949,53.68309647,104.2994723,1.5
0,4,0.323141654,178.9556005,3.181342458,0.127719225,48.18529182,59.69422344,1.5
0,4,0.898514001,175.6091851,2.670536448,0.206574593,60.31706207,72.09084767,1.5
0,4,0.668280274,262.48505,2.658554913,0.116023586,52.30081314,171.0907421,1.5
0,4,0.600271936,98.94057584,2.318738194,0.131292222,56.77772426,98.43706731,1.5
0,4,0.438721163,273.8338645,2.746684574,0.099324173,55.75131335,216.8456157,1.5
0,4,0.84557808,123.2872531,1.763229347,0.190684923,47.39350337,98.11400335,1.5
0,4,0.327157564,158.4170631,2.993637861,0.193971836,44.75372787,91.37160059,1.5
0,4,0.396227094,108.7935349,3.112849796,0.178546862,44.55537793,47.61595592,1.5
0,4,0.519352736,247.3046609,2.38438792,0.210393798,50.96532133,87.60388649,1.5
0,4,0.842666516,93.82506084,3.033469533,0.165019459,45.08695102,141.5749688,1.5
0,4,0.649959943,159.8847613,2.301863714,0.14365685,51.66552417,166.6649067,1.5
0,4,0.650876089,151.6740065,2.587932224,0.200447407,55.42419063,81.54769138,1.5
0,4,0.642403,209.9382808,4.959542272,0.094107344,51.2984878,46.42423985,1.5
0,4,0.871079927,185.0225707,1.980646779,0.250342568,53.92415521,62.05269679,1.5
0,4,0.539354845,106.4115343,3.534696908,0.185550742,63.48803923,117.1622814,1.5
0,4,0.518738986,235.0606078,2.01681352,0.14485269,56.47659689,114.5891058,1.5
0,4,0.495357757,167.4601864,1.821214885,0.139537091,60.18614298,87.55077591,1.5
0,4,0.638456073,347.8156001,3.024158817,0.11115159,60.33458751,50.72511697,1.5
0,4,0.223273732,322.6223364,3.858820446,0.135570451,53.55967621,113.7098719,1.5
0,4,0.395195824,94.80331349,3.581093615,0.106032623,58.59920234,81.45073291,1.5
0,4,0.920843365,240.0150446,2.518719073,0.123887068,51.31459875,113.3047474,1.5
0,4,0.214224038,136.9438282,2.59873508,0.14896083,55.73727314,84.13896222,1.5
0,4,0.432141892,421.0268384,4.220847697,0.137093849,50.82748577,76.34799805,1.5
0,4,0.762921859,195.7992822,2.085719692,0.23440369,51.31092789,102.8595323,1.5
0,4,0.999448997,131.8879508,2.272421256,0.158476643,53.85542094,94.36109657,1.5
0,4,0.92719164,144.7203826,2.433603574,0.169396655,54.65388731,75.93971338,1.5
0,4,0.746453576,159.2453245,4.655469884,0.099967618,71.34862878,140.9685554,1.5
0,4,0.536549741,171.4476974,3.056422224,0.116807336,54.66692156,74.72192875,1.5
0,4,0.778330027,153.8005656,2.837179666,0.123594766,55.24413203,95.13265813,1.5
0,4,0.49472971,176.0961024,5.112929009,0.115274035,48.25502854,126.3649661,1.5
0,4,0.539676933,200.578669,2.178830432,0.161186668,46.94491469,61.40919136,1.5
0,4,0.695447541,124.5343085,2.565496799,0.162561402,54.30854799,95.32884545,1.5
0,4,0.334110772,211.3304577,2.503527532,0.117298351,45.62743463,161.0444515,1.5
0,4,0.997489487,76.30297614,2.549268248,0.178681309,55.44398621,73.62971513,1.5
0,4,0.575344077,167.9604781,1.893426395,0.156582996,61.90133767,90.93591329,1.5
0,4,0.649744697,257.5504242,2.586614115,0.11147402,57.38959811,218.555898,1.5
0,4,0.210446819,143.3586226,2.01747297,0.143649607,54.30830998,131.6597603,1.5
0,4,0.291247169,378.8559916,2.146250327,0.165348558,57.29375825,65.2904034,1.5
0,4,0.728702132,207.5573587,3.471286757,0.099862814,55.75220297,89.36913272,1.5
0,4,0.726085755,149.1091331,2.956704186,0.132850256,53.37688813,88.76627078,1.5
0,4,0.492570304,266.8335178,4.085730182,0.122161919,54.15369676,57.17202505,1.5
0,4,0.097908551,351.8852504,2.325707036,0.20210013,48.53934109,84.98017925,1.5
0,4,0.375590152,189.8619548,2.253286736,0.129220239,51.75033037,136.8232067,1.5
0,4,0.914607057,156.1052332,2.136379137,0.247056016,53.96744042,66.95635638,1.5
0,4,0.774669294,155.958533,2.601954931,0.125091328,60.99367484,79.15374224,1.5
0,4,0.295169466,208.5444843,2.139718071,0.195198765,47.29848122,57.52646648,1.5
0,4,0.445685607,252.0549931,1.968191105,0.157940768,52.1254567,146.3166215,1.5
0,4,0.66446064,208.2252866,2.534518306,0.151156864,49.74681669,118.305842,1.5
0,4,0.636625632,289.7374195,1.935789962,0.1432651,53.84207301,228.5804882,1.5
0,4,0.07488749,225.6960711,2.109320007,0.175415873,59.57541139,73.85973507,1.5
0,4,0.617804434,250.7141336,3.159467477,0.123553418,64.62781958,111.558895,1.5
0,4,0.120596388,185.4102202,4.016535059,0.130456576,52.29649273,87.07416168,1.5
0,4,0.995270854,154.7740572,2.819574832,0.160741794,70.35978626,113.1327259,1.5
0,4,0.191714288,402.348917,3.975558312,0.128067283,48.87870551,123.2726326,1.5
0,4,0.884961414,326.2006402,2.35263984,0.124837789,56.91545913,155.3624766,1.5
0,4,0.82531351,188.0208486,3.414199877,0.155376259,49.42065379,55.44653561,1.5
0,4,0.588056579,439.0165465,6.444848069,0.097628155,52.3531257,79.71751972,1.5
0,4,0.048242128,153.3125342,3.249240481,0.111460961,53.79314423,90.69576352,1.5
0,4,0.926645872,197.5380469,4.109468528,0.139234243,45.79274974,77.83079977,1.5
0,4,0.894652577,275.2679855,3.160002138,0.160088966,49.72961718,105.206043,1.5
0,4,0.661929872,178.2600627,4.873640173,0.077488526,55.1125812,91.70526254,1.5
0,4,0.114329393,268.5651909,2.536159636,0.1278984,50.73167478,70.81178799,1.5
0,4,0.852422465,303.6660206,4.738036883,0.10419967,55.40095983,76.83155441,1.5
0,4,0.978165932,196.152905,2.741239519,0.14809129,49.892836,95.93857857,1.5
0,4,0.20717978,169.2857159,2.234347929,0.132506174,54.60893924,122.9525214,1.5
0,4,0.328039375,369.7581223,2.693692088,0.108549415,56.35003501,199.1581993,1.5
0,4,0.242780865,102.357,3.145114521,0.129198298,63.16913037,68.12445245,1.5
0,4,0.868037303,200.947273,3.195451032,0.139123607,55.8843961,128.9683448,1.5
0,4,0.970672518,332.2323545,2.851159051,0.142724599,63.8532007,88.63157741,1.5
0,4,0.982580646,243.2265966,3.028581284,0.13064613,39.43854627,99.6015802,1.5
0,4,0.433196341,171.0977733,2.334746536,0.14528785,38.82226712,91.39871846,1.5
0,4,0.280766939,306.7107598,2.374627071,0.183282407,49.85534973,83.64279001,1.5
0,4,0.821662264,299.9820705,2.203262702,0.246853394,54.88838476,75.37521338,1.5
0,4,0.774669294,155.958533,2.601954931,0.125091328,60.99367484,79.15374224,1.5
0,4,0.991460569,292.2641772,3.125427121,0.171353788,50.91388408,64.58331361,1.5
0,4,0.918155226,197.1272589,3.781313061,0.093801733,55.77744451,78.9067081,1.5
0,4,0.069273036,215.286501,5.650457207,0.065191778,61.24567082,92.32196276,1.5
0,4,0.018485958,363.7635271,6.163743285,0.111897078,51.49623435,98.02710038,1.5
0,4,0.739129947,284.747,1.885908876,0.193701344,54.8983851,69.11561765,1.5
0,4,0.782257923,172.9127625,4.101393236,0.124729623,47.42771217,119.7724374,1.5
0,4,0.317500986,155.2230066,5.639494719,0.077429866,44.50426553,116.7776507,1.5
0,4,0.398315808,300.8006541,2.18983104,0.200084858,57.36146597,71.05679461,1.5
0,4,0.134224082,114.5408434,2.038548793,0.185345849,59.31995393,98.034052,1.5
0,4,0.949323166,195.7660148,4.03536537,0.08895627,54.27504287,101.926458,1.5
0,4,0.957776236,177.8131031,3.596883381,0.15118249,52.03176633,112.1160354,1.5
0,4,0.636960111,116.1886748,2.382369394,0.161886646,46.16034164,61.44359589,1.5
0,4,0.440670287,408.9685094,2.336759883,0.21129912,58.92449814,93.91897802,1.5
0,4,0.325967331,349.2845591,2.47154389,0.146444187,55.03012652,69.15995843,1.5
